CF ID,USER ID,Open-Ended Response,Response,Response,Response,if I remembered to plant seeds,if I thought practicing would positively impact my life,if I felt more comfortable trying new things,if the seed recommendations were more personalized,if the planting process was easier,if I could better identify real-life seed planting opportunities,Response,Response,More ideas?,Open-Ended Response,None of the above,Bright Color Design,Self Leadership Seeds Content,Seed Planting Process,Open-Ended Response
19,uJ0oMHy9RFKSbeLNfSK42g,100,Strongly Agree,Strongly Agree,Strongly Agree,2,4,5,3,6,1,Yes,Add video,,,,Bright Color Design,Self Leadership Seeds Content,Seed Planting Process,
53,ZP99sHSqRsi5JUZGdSP3ig,9,Agree,Agree,Agree,2,3,6,1,5,4,Yes,Improve text entries,,,,Bright Color Design,Self Leadership Seeds Content,,
37,mA.wQdR6RfeE480LclY66Q,60,Agree,Agree,Strongly Agree,1,5,4,3,6,2,Yes,Add video,,"One day, I couldn’t open the app(it didn’t load). I tried opening other apps and it wad fine, so it was not the wifi.",,Bright Color Design,Self Leadership Seeds Content,,
22,aFN1HaDPS0CZq6ALtk-cmA,30,Neutral,Disagree,Agree,4,1,6,2,3,5,No,Add video,Add websites ,N/a,,,Self Leadership Seeds Content,,
9,EAObSIJKRta4ET6NgogoNw,30,Agree,Agree,Strongly Agree,4,1,3,6,2,5,Yes,Add video,,N/A,,Bright Color Design,Self Leadership Seeds Content,,
16,4qhBNxDNSrey8VRioVzl1A,1,Neutral,Neutral,Agree,1,6,5,3,4,2,No,Improve text entries,,,,,,Seed Planting Process,
8,Cz2Ihjs0Tq26etAIKr.p7w,4,Agree,Agree,Strongly Agree,1,2,5,3,6,4,Yes,Add video,,,,Bright Color Design,Self Leadership Seeds Content,,
12,AtG47KqXRo2Uhlr5U-6.nA,0,Neutral,Agree,Strongly Agree,4,3,6,2,5,1,Yes,Add video,,,,Bright Color Design,Self Leadership Seeds Content,,
30,hzCGC9k9Q6ieOU0EvW18Mw,2,Agree,Agree,Neutral,5,3,4,6,1,2,Yes,Add video,Add more how to videos and ,,,Bright Color Design,,,
3,sgodtN6ISM-b.wcUXXA1DQ,40,Strongly Disagree,Strongly Disagree,Strongly Disagree,1,2,6,3,4,5,Yes,Improve text entries,,,,Bright Color Design,,Seed Planting Process,
36,kY1E1LOnRYias6MuanucrA,3,Agree,Agree,Agree,1,3,6,2,5,4,No,Add video,,,,,Self Leadership Seeds Content,Seed Planting Process,
23,RiVwooLtR.ORv12DT9TffA,57,Agree,Agree,Agree,1,2,4,3,5,6,Yes,Improve text entries,,,,Bright Color Design,,,
34,FxVJN3ikQdWhcuUh-ZL42g,58,Strongly Agree,Agree,Strongly Agree,1,4,3,5,6,2,Yes,Add video,,,,,Self Leadership Seeds Content,Seed Planting Process,
14,a.fCqMV1KR9e7bFbsoxfbdQ,91,Agree,Strongly Agree,Strongly Agree,1,6,3,2,5,4,Yes,Add video,,,,Bright Color Design,Self Leadership Seeds Content,Seed Planting Process,
55,IP5ZuSNhQ26NJxUudtX.6w,51,Agree,Agree,Strongly Agree,6,4,3,2,5,1,Yes,Improve text entries,,,,Bright Color Design,Self Leadership Seeds Content,Seed Planting Process,
21,gB-SvrcGQo646AUNquVszw,100,Strongly Agree,Neutral,Strongly Agree,2,5,4,3,6,1,Yes,Improve text entries,,"none so far, you all are great developers!",,Bright Color Design,Self Leadership Seeds Content,Seed Planting Process,
20,Li53H8mSRG-EhDRDVlEKqA,3,Agree,Disagree,Strongly Agree,1,5,6,4,2,3,Yes,Add video,,I could not choose the attribute of a seed when planting it,,Bright Color Design,,,
35,N-tZhRZOQGWFLvAJInd.cg,4,Agree,Agree,Strongly Agree,3,2,5,4,6,1,No,Add video,,,,Bright Color Design,,Seed Planting Process,