userID,Category,Attribute,AddedOn
7hi2fP88RFScDdRdACRuAg,Practice,Adaptability,10/13/2022
7hi2fP88RFScDdRdACRuAg,Practice,Adaptability,10/17/2022
FQaeh8o1SG-lJvsOS2qdpQ,Practice,Adaptability,10/19/2022
7hi2fP88RFScDdRdACRuAg,Practice,Adaptability,10/25/2022
7hi2fP88RFScDdRdACRuAg,Practice,Adaptability,11/1/2022
7hi2fP88RFScDdRdACRuAg,Practice,Adaptability,11/1/2022
ZP99sHSqRsi5JUZGdSP3ig,Practice,Adaptability,11/3/2022
7hi2fP88RFScDdRdACRuAg,Practice,Adaptability,11/3/2022
7hi2fP88RFScDdRdACRuAg,Practice,Adaptability,11/3/2022
7hi2fP88RFScDdRdACRuAg,Self,Alignment,10/14/2022
TR.X4sSKQIeLbJf5c3C9-A,Self,Alignment,10/14/2022
7hi2fP88RFScDdRdACRuAg,Self,Alignment,10/17/2022
hzCGC9k9Q6ieOU0EvW18Mw,Self,Alignment,10/18/2022
7hi2fP88RFScDdRdACRuAg,Self,Alignment,10/18/2022
EZo4qEA2TQeiXZ6Id.YuZQ,Self,Alignment,10/19/2022
FQaeh8o1SG-lJvsOS2qdpQ,Self,Alignment,10/19/2022
7hi2fP88RFScDdRdACRuAg,Self,Alignment,10/25/2022
uJ0oMHy9RFKSbeLNfSK42g,Self,Alignment,10/27/2022
gB-SvrcGQo646AUNquVszw,Self,Alignment,10/30/2022
gB-SvrcGQo646AUNquVszw,Self,Alignment,10/30/2022
7hi2fP88RFScDdRdACRuAg,Self,Alignment,10/31/2022
7hi2fP88RFScDdRdACRuAg,Self,Alignment,11/1/2022
7hi2fP88RFScDdRdACRuAg,Self,Alignment,11/2/2022
7hi2fP88RFScDdRdACRuAg,Self,Alignment,11/3/2022
7hi2fP88RFScDdRdACRuAg,Self,Alignment,11/3/2022
uJ0oMHy9RFKSbeLNfSK42g,Self,Alignment,11/6/2022
7hi2fP88RFScDdRdACRuAg,Self,Alignment,11/8/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,10/13/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,10/13/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,10/14/2022
AtG47KqXRo2Uhlr5U-6.nA,Practice,Communication,10/14/2022
uJ0oMHy9RFKSbeLNfSK42g,Practice,Communication,10/17/2022
hzCGC9k9Q6ieOU0EvW18Mw,Practice,Communication,10/18/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,10/20/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,10/21/2022
kY1E1LOnRYias6MuanucrA,Practice,Communication,10/21/2022
kY1E1LOnRYias6MuanucrA,Practice,Communication,10/21/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,10/23/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,10/25/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,10/26/2022
uJ0oMHy9RFKSbeLNfSK42g,Practice,Communication,10/26/2022
Li53H8mSRG-EhDRDVlEKqA,Practice,Communication,10/30/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,11/1/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,11/2/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,11/2/2022
iBfTkb6RTcSxQeXnAVjFjA,Practice,Communication,11/3/2022
7hi2fP88RFScDdRdACRuAg,Practice,Communication,11/3/2022
gB-SvrcGQo646AUNquVszw,Practice,Communication,11/6/2022
FxVJN3ikQdWhcuUh-ZL42g,Practice,Communication,11/7/2022
ZP99sHSqRsi5JUZGdSP3ig,Practice,Communication,11/7/2022
7hi2fP88RFScDdRdACRuAg,External,Compassionate Action,10/14/2022
7hi2fP88RFScDdRdACRuAg,External,Compassionate Action,10/25/2022
7hi2fP88RFScDdRdACRuAg,External,Compassionate Action,10/25/2022
7hi2fP88RFScDdRdACRuAg,External,Compassionate Action,10/27/2022
7hi2fP88RFScDdRdACRuAg,External,Compassionate Action,10/27/2022
Li53H8mSRG-EhDRDVlEKqA,External,Compassionate Action,10/28/2022
7hi2fP88RFScDdRdACRuAg,External,Compassionate Action,10/28/2022
uJ0oMHy9RFKSbeLNfSK42g,External,Compassionate Action,10/29/2022
N-tZhRZOQGWFLvAJInd.cg,Internal,Creativity,10/19/2022
FQaeh8o1SG-lJvsOS2qdpQ,Internal,Creativity,10/19/2022
mA.wQdR6RfeE480LclY66Q,Internal,Creativity,10/22/2022
hzCGC9k9Q6ieOU0EvW18Mw,Internal,Creativity,10/25/2022
gB-SvrcGQo646AUNquVszw,Internal,Creativity,11/6/2022
7hi2fP88RFScDdRdACRuAg,Internal,Critical Thinking,10/14/2022
7hi2fP88RFScDdRdACRuAg,Internal,Critical Thinking,10/14/2022
7hi2fP88RFScDdRdACRuAg,Internal,Critical Thinking,10/17/2022
7hi2fP88RFScDdRdACRuAg,Internal,Critical Thinking,10/31/2022
hzCGC9k9Q6ieOU0EvW18Mw,Internal,Critical Thinking,11/1/2022
7hi2fP88RFScDdRdACRuAg,Internal,Critical Thinking,11/3/2022
ZP99sHSqRsi5JUZGdSP3ig,Internal,Critical Thinking,11/7/2022
7hi2fP88RFScDdRdACRuAg,Internal,Growth Mindset,10/13/2022
FQaeh8o1SG-lJvsOS2qdpQ,Internal,Growth Mindset,10/14/2022
,Internal,Growth Mindset,10/14/2022
,Internal,Growth Mindset,10/14/2022
,Internal,Growth Mindset,10/14/2022
iBfTkb6RTcSxQeXnAVjFjA,Internal,Growth Mindset,10/14/2022
EAObSIJKRta4ET6NgogoNw,Internal,Growth Mindset,10/14/2022
FxVJN3ikQdWhcuUh-ZL42g,Internal,Growth Mindset,10/15/2022
aFN1HaDPS0CZq6ALtk-cmA,Internal,Growth Mindset,10/15/2022
,Internal,Growth Mindset,10/15/2022
sgodtN6ISM-b.wcUXXA1DQ,Internal,Growth Mindset,10/15/2022
IScOZsHfQFydlxQp0TjY.g,Internal,Growth Mindset,10/15/2022
,Internal,Growth Mindset,10/15/2022
,Internal,Growth Mindset,10/16/2022
qYs2hXraQo6jQhVn8rHfNQ,Internal,Growth Mindset,10/16/2022
uJ0oMHy9RFKSbeLNfSK42g,Internal,Growth Mindset,10/16/2022
7hi2fP88RFScDdRdACRuAg,Internal,Growth Mindset,10/17/2022
hzCGC9k9Q6ieOU0EvW18Mw,Internal,Growth Mindset,10/18/2022
T21OfjL8S3y60zkvPG7qNA,Internal,Growth Mindset,10/18/2022
gB-SvrcGQo646AUNquVszw,Internal,Growth Mindset,10/18/2022
0LJoJVcEQzyppznWDhflcg,Internal,Growth Mindset,10/19/2022
7hi2fP88RFScDdRdACRuAg,Internal,Growth Mindset,10/18/2022
EZo4qEA2TQeiXZ6Id.YuZQ,Internal,Growth Mindset,10/19/2022
N-tZhRZOQGWFLvAJInd.cg,Internal,Growth Mindset,10/19/2022
T21OfjL8S3y60zkvPG7qNA,Internal,Growth Mindset,10/21/2022
7hi2fP88RFScDdRdACRuAg,Internal,Growth Mindset,10/21/2022
7hi2fP88RFScDdRdACRuAg,Internal,Growth Mindset,10/25/2022
7hi2fP88RFScDdRdACRuAg,Internal,Growth Mindset,10/25/2022
7hi2fP88RFScDdRdACRuAg,Internal,Growth Mindset,10/26/2022
IScOZsHfQFydlxQp0TjY.g,Internal,Growth Mindset,10/26/2022
7hi2fP88RFScDdRdACRuAg,Internal,Growth Mindset,10/26/2022
7hi2fP88RFScDdRdACRuAg,Internal,Growth Mindset,10/27/2022
FQaeh8o1SG-lJvsOS2qdpQ,Internal,Growth Mindset,10/28/2022
7hi2fP88RFScDdRdACRuAg,Internal,Growth Mindset,11/2/2022
7hi2fP88RFScDdRdACRuAg,Practice,Navigation,10/14/2022
T21OfjL8S3y60zkvPG7qNA,Practice,Navigation,10/14/2022
TR.X4sSKQIeLbJf5c3C9-A,Practice,Navigation,10/14/2022
AtG47KqXRo2Uhlr5U-6.nA,Practice,Navigation,10/14/2022
iBfTkb6RTcSxQeXnAVjFjA,Practice,Navigation,10/14/2022
sgodtN6ISM-b.wcUXXA1DQ,Practice,Navigation,10/15/2022
Cz2Ihjs0Tq26etAIKr.p7w,Practice,Navigation,10/15/2022
a.CF6lQh2SrqzB8tDSuVZFw,Practice,Navigation,10/16/2022
uJ0oMHy9RFKSbeLNfSK42g,Practice,Navigation,10/17/2022
mA.wQdR6RfeE480LclY66Q,Practice,Navigation,10/17/2022
7hi2fP88RFScDdRdACRuAg,Practice,Navigation,10/17/2022
hzCGC9k9Q6ieOU0EvW18Mw,Practice,Navigation,10/18/2022
7hi2fP88RFScDdRdACRuAg,Practice,Navigation,10/19/2022
T21OfjL8S3y60zkvPG7qNA,Practice,Navigation,10/19/2022
a-SNiWJLMR5yas7qx6jZ5lg,Practice,Navigation,10/19/2022
FQaeh8o1SG-lJvsOS2qdpQ,Practice,Navigation,10/19/2022
7hi2fP88RFScDdRdACRuAg,Practice,Navigation,10/21/2022
7hi2fP88RFScDdRdACRuAg,Practice,Navigation,10/22/2022
Li53H8mSRG-EhDRDVlEKqA,Practice,Navigation,10/24/2022
7hi2fP88RFScDdRdACRuAg,Practice,Navigation,10/25/2022
MzRx9hLQRrarAV3Z9yziQw,Practice,Navigation,10/25/2022
7hi2fP88RFScDdRdACRuAg,Practice,Navigation,10/25/2022
7hi2fP88RFScDdRdACRuAg,Practice,Navigation,10/27/2022
MzRx9hLQRrarAV3Z9yziQw,Practice,Navigation,10/28/2022
7hi2fP88RFScDdRdACRuAg,Practice,Navigation,10/31/2022
7hi2fP88RFScDdRdACRuAg,Practice,Navigation,10/31/2022
7hi2fP88RFScDdRdACRuAg,Practice,Navigation,11/1/2022
Li53H8mSRG-EhDRDVlEKqA,Practice,Navigation,11/1/2022
7hi2fP88RFScDdRdACRuAg,Practice,Navigation,11/3/2022
7hi2fP88RFScDdRdACRuAg,Practice,Navigation,11/4/2022
kY1E1LOnRYias6MuanucrA,Practice,Navigation,11/5/2022
7hi2fP88RFScDdRdACRuAg,Practice,Navigation,11/8/2022
sgodtN6ISM-b.wcUXXA1DQ,Practice,Resilience,10/15/2022
7hi2fP88RFScDdRdACRuAg,Practice,Resilience,10/17/2022
7hi2fP88RFScDdRdACRuAg,Practice,Resilience,10/27/2022
7hi2fP88RFScDdRdACRuAg,Practice,Resilience,10/31/2022
7hi2fP88RFScDdRdACRuAg,Practice,Resilience,11/1/2022
7hi2fP88RFScDdRdACRuAg,Practice,Resilience,11/1/2022
7hi2fP88RFScDdRdACRuAg,Practice,Resilience,11/1/2022
7hi2fP88RFScDdRdACRuAg,Practice,Resilience,11/2/2022
7hi2fP88RFScDdRdACRuAg,Practice,Resilience,11/5/2022
ZP99sHSqRsi5JUZGdSP3ig,Practice,Resilience,11/7/2022
7hi2fP88RFScDdRdACRuAg,Practice,Resilience,11/7/2022
FxVJN3ikQdWhcuUh-ZL42g,Self,Self Awareness,10/15/2022
aFN1HaDPS0CZq6ALtk-cmA,Self,Self Awareness,10/15/2022
T21OfjL8S3y60zkvPG7qNA,Self,Self Awareness,10/17/2022
gB-SvrcGQo646AUNquVszw,Self,Self Awareness,10/18/2022
hzCGC9k9Q6ieOU0EvW18Mw,Self,Self Awareness,10/18/2022
0LJoJVcEQzyppznWDhflcg,Self,Self Awareness,10/19/2022
T21OfjL8S3y60zkvPG7qNA,Self,Self Awareness,10/19/2022
T21OfjL8S3y60zkvPG7qNA,Self,Self Awareness,10/19/2022
N-tZhRZOQGWFLvAJInd.cg,Self,Self Awareness,10/19/2022
FQaeh8o1SG-lJvsOS2qdpQ,Self,Self Awareness,10/19/2022
MzRx9hLQRrarAV3Z9yziQw,Self,Self Awareness,10/19/2022
7hi2fP88RFScDdRdACRuAg,Self,Self Awareness,10/20/2022
7hi2fP88RFScDdRdACRuAg,Self,Self Awareness,10/20/2022
7hi2fP88RFScDdRdACRuAg,Self,Self Awareness,10/21/2022
FQaeh8o1SG-lJvsOS2qdpQ,Self,Self Awareness,10/24/2022
7hi2fP88RFScDdRdACRuAg,Self,Self Awareness,10/24/2022
7hi2fP88RFScDdRdACRuAg,Self,Self Awareness,10/25/2022
MzRx9hLQRrarAV3Z9yziQw,Self,Self Awareness,10/25/2022
7hi2fP88RFScDdRdACRuAg,Self,Self Awareness,10/25/2022
7hi2fP88RFScDdRdACRuAg,Self,Self Awareness,10/28/2022
7hi2fP88RFScDdRdACRuAg,Self,Self Awareness,10/30/2022
7hi2fP88RFScDdRdACRuAg,Self,Self Awareness,11/3/2022
mA.wQdR6RfeE480LclY66Q,Self,Self Awareness,11/7/2022
7hi2fP88RFScDdRdACRuAg,Self,Self Compassion,10/14/2022
7hi2fP88RFScDdRdACRuAg,Self,Self Compassion,10/16/2022
7hi2fP88RFScDdRdACRuAg,Self,Self Compassion,10/16/2022
Li53H8mSRG-EhDRDVlEKqA,Self,Self Compassion,10/16/2022
7hi2fP88RFScDdRdACRuAg,Self,Self Compassion,10/17/2022
hzCGC9k9Q6ieOU0EvW18Mw,Self,Self Compassion,10/18/2022
7hi2fP88RFScDdRdACRuAg,Self,Self Compassion,10/18/2022
7hi2fP88RFScDdRdACRuAg,Self,Self Compassion,10/20/2022
aFN1HaDPS0CZq6ALtk-cmA,Self,Self Compassion,10/21/2022
Cz2Ihjs0Tq26etAIKr.p7w,Self,Self Compassion,10/23/2022
7hi2fP88RFScDdRdACRuAg,Self,Self Compassion,10/24/2022
7hi2fP88RFScDdRdACRuAg,Self,Self Compassion,10/26/2022
FxVJN3ikQdWhcuUh-ZL42g,Self,Self Compassion,10/27/2022
7hi2fP88RFScDdRdACRuAg,Self,Self Compassion,11/1/2022
7hi2fP88RFScDdRdACRuAg,Self,Self Compassion,11/1/2022
Cz2Ihjs0Tq26etAIKr.p7w,Self,Self Compassion,11/3/2022
ZP99sHSqRsi5JUZGdSP3ig,Self,Self Compassion,11/7/2022
iBfTkb6RTcSxQeXnAVjFjA,Self,Self Knowledge,10/14/2022
ETM2doKmTAqUfgz7gYfQ8w,Self,Self Knowledge,10/15/2022
iBfTkb6RTcSxQeXnAVjFjA,Self,Self Knowledge,10/22/2022
7hi2fP88RFScDdRdACRuAg,Self,Self Knowledge,10/25/2022
7hi2fP88RFScDdRdACRuAg,Self,Self Knowledge,10/25/2022
uJ0oMHy9RFKSbeLNfSK42g,Self,Self Knowledge,10/31/2022
7hi2fP88RFScDdRdACRuAg,Self,Self Knowledge,10/31/2022
FxVJN3ikQdWhcuUh-ZL42g,External,Solutionary Thinking,10/19/2022
N-tZhRZOQGWFLvAJInd.cg,External,Solutionary Thinking,10/19/2022
7hi2fP88RFScDdRdACRuAg,External,Solutionary Thinking,10/27/2022
7hi2fP88RFScDdRdACRuAg,External,Solutionary Thinking,10/28/2022
7hi2fP88RFScDdRdACRuAg,External,Solutionary Thinking,10/28/2022
Li53H8mSRG-EhDRDVlEKqA,External,Solutionary Thinking,10/30/2022
7hi2fP88RFScDdRdACRuAg,External,Solutionary Thinking,10/31/2022
7hi2fP88RFScDdRdACRuAg,External,Solutionary Thinking,11/2/2022
uJ0oMHy9RFKSbeLNfSK42g,External,Solutionary Thinking,11/3/2022
gB-SvrcGQo646AUNquVszw,External,Solutionary Thinking,11/6/2022
EAObSIJKRta4ET6NgogoNw,External,Tech Literacy,10/14/2022
T21OfjL8S3y60zkvPG7qNA,External,Tech Literacy,10/17/2022
T21OfjL8S3y60zkvPG7qNA,External,Tech Literacy,10/17/2022
hzCGC9k9Q6ieOU0EvW18Mw,External,Tech Literacy,10/22/2022
AtG47KqXRo2Uhlr5U-6.nA,External,Tech Literacy,10/22/2022
Cz2Ihjs0Tq26etAIKr.p7w,External,Tech Literacy,10/22/2022
iBfTkb6RTcSxQeXnAVjFjA,External,Tech Literacy,10/22/2022
mA.wQdR6RfeE480LclY66Q,External,Tech Literacy,10/23/2022
mA.wQdR6RfeE480LclY66Q,External,Tech Literacy,10/24/2022
7hi2fP88RFScDdRdACRuAg,External,Tech Literacy,10/25/2022
uJ0oMHy9RFKSbeLNfSK42g,External,Tech Literacy,10/26/2022
7hi2fP88RFScDdRdACRuAg,External,Tech Literacy,10/27/2022
AtG47KqXRo2Uhlr5U-6.nA,External,Tech Literacy,10/30/2022
gB-SvrcGQo646AUNquVszw,External,Tech Literacy,10/30/2022
7hi2fP88RFScDdRdACRuAg,External,Tech Literacy,11/1/2022
mA.wQdR6RfeE480LclY66Q,External,Tech Literacy,11/1/2022
7hi2fP88RFScDdRdACRuAg,External,X Comfort Zone Experience,10/14/2022
AtG47KqXRo2Uhlr5U-6.nA,External,X Comfort Zone Experience,10/14/2022
AtG47KqXRo2Uhlr5U-6.nA,External,X Comfort Zone Experience,10/14/2022
IScOZsHfQFydlxQp0TjY.g,External,X Comfort Zone Experience,10/15/2022
qYs2hXraQo6jQhVn8rHfNQ,External,X Comfort Zone Experience,10/16/2022
aFN1HaDPS0CZq6ALtk-cmA,External,X Comfort Zone Experience,10/16/2022
7hi2fP88RFScDdRdACRuAg,External,X Comfort Zone Experience,10/17/2022
aFN1HaDPS0CZq6ALtk-cmA,External,X Comfort Zone Experience,10/18/2022
hzCGC9k9Q6ieOU0EvW18Mw,External,X Comfort Zone Experience,10/18/2022
7hi2fP88RFScDdRdACRuAg,External,X Comfort Zone Experience,10/18/2022
7hi2fP88RFScDdRdACRuAg,External,X Comfort Zone Experience,10/20/2022
Cz2Ihjs0Tq26etAIKr.p7w,External,X Comfort Zone Experience,10/22/2022
uJ0oMHy9RFKSbeLNfSK42g,External,X Comfort Zone Experience,10/24/2022
Li53H8mSRG-EhDRDVlEKqA,External,X Comfort Zone Experience,10/24/2022
7hi2fP88RFScDdRdACRuAg,External,X Comfort Zone Experience,10/26/2022
7hi2fP88RFScDdRdACRuAg,External,X Comfort Zone Experience,10/27/2022
7hi2fP88RFScDdRdACRuAg,External,X Comfort Zone Experience,10/27/2022
uJ0oMHy9RFKSbeLNfSK42g,External,X Comfort Zone Experience,11/1/2022
iBfTkb6RTcSxQeXnAVjFjA,External,X Comfort Zone Experience,11/3/2022
Cz2Ihjs0Tq26etAIKr.p7w,External,X Comfort Zone Experience,11/3/2022
7hi2fP88RFScDdRdACRuAg,External,X Comfort Zone Experience,11/4/2022
mA.wQdR6RfeE480LclY66Q,External,X Comfort Zone Experience,11/7/2022
mA.wQdR6RfeE480LclY66Q,External,X Comfort Zone Experience,11/7/2022